0--INFINITYM_BELOW_GROUND      地表下0米至无穷远
THE_PROBABILITY_OF_FORECASTING_OF_GLOBAL_24H_ACCUMULATIVE_RAINFALL_GREATER_THAN_25MM      全球24小时累计降水预报大于25mm概率
THE_PROBABILITY_OF_FORECASTING_OF_GLOBAL_24H_ACCUMULATIVE_RAINFALL_GREATER_THAN_50MM      全球24小时累计降水预报大于50mm概率
THE_PROBABILITY_OF_GLOBAL_500HPA_HEIGHT_ANOMALY_FORECASTS_ABOVE_+1SIGMA_AFTER_BIAS_CORRECTION      全球偏差订正500hPa高度距平大于1倍标准差概率
THE_PROBABILITY_OF_GLOBAL_500HPA_HEIGHT_ANOMALY_FORECASTS_ABOVE_+2SIGMA_AFTER_BIAS_CORRECTION      全球偏差订正500hPa高度距平大于2倍标准差概率
THE_PROBABILITY_OF_GLOBAL_500HPA_HEIGHT_ANOMALY_FORECASTS_BELOW_-1SIGMA_AFTER_BIAS_CORRECTION      全球偏差订正500hPa高度距平小于-1倍标准差概率
THE_PROBABILITY_OF_GLOBAL_500HPA_HEIGHT_ANOMALY_FORECASTS_BELOW_-2SIGMA_AFTER_BIAS_CORRECTION      全球偏差订正500hPa高度距平小于-2倍标准差概率
THE_PROBABILITY_OF_GLOBAL_850HPA_TEMPERATURE_ANOMALY_FORECASTS_ABOVE_+1SIGMA_AFTER_BIAS_CORRECTION      全球偏差订正850hPa高度距平大于1倍标准差概率
THE_PROBABILITY_OF_GLOBAL_850HPA_TEMPERATURE_ANOMALY_FORECASTS_ABOVE_+2SIGMA_AFTER_BIAS_CORRECTION      全球偏差订正850hPa高度距平大于2倍标准差概率
THE_PROBABILITY_OF_GLOBAL_850HPA_TEMPERATURE_ANOMALY_FORECASTS_BELOW_-1SIGMA_AFTER_BIAS_CORRECTION      全球偏差订正850hPa高度距平小于-1倍标准差概率
THE_PROBABILITY_OF_GLOBAL_850HPA_TEMPERATURE_ANOMALY_FORECASTS_BELOW_-2SIGMA_AFTER_BIAS_CORRECTION      全球偏差订正850hPa高度距平小于-2倍标准差概率
THUNDERSTORM      雷暴
THUNDER_WIND      雷暴大风
TI      总指数
TLOGP      温度对数压力图
TMAX      最高温度
TMIN      最低温度
TMP      温度
TMPADV      温度平流
TMP_2M      2米温度
TMP_2M_UNCLIPPED      2米温度(未裁剪)
TMP_ALL_STATION      国家站区域站1小时气温
TMP_CHANGE_24H      24小时变温
TMP_CHANGE_24H_GLOBAL_STATION      全球站24小时变温
TMP_CHANGE_24H_NATIONAL      国家站24小时变温
TMP_CHANGE_48H      48小时变温
TMP_GLOBAL_STATION      全球站温度
TMP_GROUND_NATIONAL      国家站1小时地表温度
TMP_MAX_24H_ALL_STATION      国家站区域站过去24小时最高温度
TMP_MAX_24H_ALL_STATION_02-02      国家站区域站过去24小时最高温度_02-02
TMP_MAX_24H_GLOBAL_STATION      全球站24小时最高温度
TMP_MAX_24H_NATIONAL      国家站过去24小时最高温度
TMP_MAX_24H_NATIONAL_02-02      国家站过去24小时最高温度_02-02
TMP_MAX_ALL_STATION      国家站区域站1小时最高气温
TMP_MAX_NATIONAL      国家站1小时最高气温
TMP_MIN_24H_ALL_STATION      国家站区域站过去24小时最低温度
TMP_MIN_24H_ALL_STATION_14-14      国家站区域站过去24小时最低温度_14-14
TMP_MIN_24H_GLOBAL_STATION      全球站24小时最低温度
TMP_MIN_24H_NATIONAL      国家站过去24小时最低温度
TMP_MIN_24H_NATIONAL_14-14      国家站过去24小时最低温度_14-14
TMP_MIN_ALL_STATION      国家站区域站1小时最低气温
TMP_MIN_NATIONAL      国家站1小时最低气温
TMP_NATIONAL      国家站1小时气温
TOTAL_COLUMN_INTEGRATED_CLOUD_ICE      大气总柱冰含量
TOTAL_COLUMN_INTEGRATED_CLOUD_WATER      大气总柱水含量
TOTAL_COLUMN_INTEGRATED_WATER_VAPOUR      大气总柱水汽含量
TOTAL_OZONE      总臭氧量
TOTAL_PRECIPITATION_RATE      总降水率
TPW      晴空大气可降水量
TROPOPAUSE      对流层顶
TSG      积雪分布
U-COMPONENT_STORM_MOTION      U分量风暴移动方向
UGRD      U风量
UGRD_100M      100米U风量
UGRD_10M      10米U风量
ULR      地表上行长波辐射
UPDRAFT_HELICITY      最大垂直上升螺旋度
UPPER_AIR      高空
UPWARD_LONG-WAVE_RAD._FLUX      向上长波辐射通量
UPWARD_SHORT-WAVE_RADIATION_FLUX      向上短波辐射通量
URH      对流层上部相对湿度
UV-B_DOWNWARD_SOLAR_FLUX      UV-B太阳辐射通量
V-COMPONENT_STORM_MOTION      V分量风暴移动方向
VAPOR_BRIGHTNESS_TEMPERATURE      水汽通道模拟卫星
VARIANCE      离散度
VELOCITY_POTENTIAL      垂直速度
VENTILATION_RATE      通风率
VERTICAL_SPEED_SHEAR      垂直风切变
VERTICAL_STRESS      南北向应力
VGRD      V风量
VGRD_100M      100米V风量
VGRD_10M      10米V风量
VIL      垂直液态水积分
VIS_GLOBAL_STATION      全球站能见度
VIS_HR      高分辨率可见光
VIS_MEAN_SEA_LEVEL      海区能见度
VIS_NATIONAL      国家站1小时人工水平能见度
VIS_SURFACE      陆区能见度
VIS_UNCLIPPED      VIS(未裁剪)
VOLUMETRIC_SOIL_MOISTURE_CONTENT      土壤含水量
VOR      涡度
VORADV      涡度平流
VVEL      P坐标垂直速度
VVEL_GEOMETRIC      垂直速度
WATER_EQUIVALENT_OF_ACCUMULATED_SNOW_DEPTH      累积雪深含水量
WATER_RUNOFF      径流
WATER_TEMPERATURE      海水温度
WI      大风指数
WILTING_POINT      凋萎点
WIND      风场
WIND_100M      100米风场
WIND_100M_UNCLIPPED      100米风场(未裁剪)
WIND_10M      10米风场
WIND_10M_UNCLIPPED      10米风场(未裁剪)
WIND_AVERAGE_10MIN_ALL_STATION      国家站区域站10分钟平均风向风速
WIND_AVERAGE_2MIN_ALL_STATION      国家站区域站2分钟平均风向风速
WIND_DIRECTION      风向
WIND_GUST_SPEED_GLOBAL_STATION      全球站阵风风速
WIND_PROFILER      风廓线
WIND_SPEED      风速
WSCI      重要天气报
WVFDIV      水汽通量散度
WVFL      水汽通量
ZERO_DEGREE_LEVEL      零度层高度
ZONAL_FLUX_OF_GRAVITY_WAVE_STRESS      重力波压力纬向通量
